,EVENT,二次大戰,九州熊本強震
198,ORG,,華盛頓
36,ORG,日月光,
65,ORG,高雄市政府社,
66,ORG,中宇環保工程公司,
67,ORG,民進黨,
68,ORG,高市府觀光局,
69,ORG,正興輪胎,
76,ORG,台南市長,
35,ORG,明華園戲劇總團,
72,ORG,Yahoo,
73,ORG,外交部,
74,ORG,工程會,
91,ORG,故宮南院,
90,ORG,熊本縣廳,
89,ORG,高市府,
88,ORG,陽明大學,
87,ORG,政府,
86,ORG,社會局,
85,ORG,臺北國家兩廳院,
84,ORG,高雄銀行公庫部,
83,ORG,農業局,
82,ORG,美國農村發展組織,
81,ORG,一卡通票證公司,
80,ORG,高雄市政府社會局,
79,ORG,熊本縣政府,
78,ORG,衛武國家藝術文化中心,
77,ORG,台中市長,
64,ORG,國會,
63,ORG,文化部,
75,ORG,衛武營,
61,ORG,台塑,
62,ORG,中央,
53,ORG,癌生物學系,
52,ORG,高醫大,
51,ORG,高雄阮綜合醫院,
50,ORG,哈佛大學公共衛生學院,
49,ORG,陽明醫學系,
48,ORG,美國國家衛生院,
47,ORG,北市衛生局,
46,ORG,中研院生醫所,
45,ORG,台塑集團,
44,ORG,亦宛然掌中劇團,
43,ORG,台塑企業,
42,ORG,交通局,
41,ORG,市議會,
55,ORG,陽明公衛所,
40,ORG,臺中國家歌劇院,
39,ORG,東台精機公司,
38,ORG,市府,
37,ORG,日商ＴＤＫ,
56,ORG,公衛所,
57,ORG,紙風車劇團,
58,ORG,台塑仁武廠,
59,ORG,明華園歌仔戲團,
60,ORG,明華園總團,
54,ORG,國民黨,
270,PERSON,,鄭光峰
294,PERSON,,王永在
290,PERSON,,林全
292,PERSON,,王詹樣
271,PERSON,,李雨庭
272,PERSON,,陳導民
273,PERSON,,李柏毅
274,PERSON,,俄鄧．殷艾
276,PERSON,,簡文彬
277,PERSON,,林宛蓉
278,PERSON,,Iran-contrascandal
279,PERSON,,黃石龍
280,PERSON,,CasparW.Weinberger
281,PERSON,,朱立倫
282,PERSON,,黃柏霖
283,PERSON,,林國正
284,PERSON,,蔡復進
285,PERSON,,陳寶輝
286,PERSON,,陳皆興
287,PERSON,,陳宜民
288,PERSON,,UBaMyoThein
289,PERSON,,蔡英文
291,PERSON,,許慧玉
293,PERSON,,日月暘
275,PERSON,,高閔琳
302,PERSON,,尼克森
296,PERSON,,沈英章
323,PERSON,,阿扁
322,PERSON,,布希特
321,PERSON,,福特
320,PERSON,,克林頓
319,PERSON,,老布希
318,PERSON,,布希
317,PERSON,,fullpardon
316,PERSON,,愛德華甘迺迪
315,PERSON,,陳水扁
314,PERSON,,張勝富
313,PERSON,,林佳龍
312,PERSON,,陳菊
311,PERSON,,柯文哲
310,PERSON,,李順進
309,PERSON,,張勝盼
308,PERSON,,康裕成
307,PERSON,,蔡昌達
306,PERSON,,林民傑
305,PERSON,,吳益政
304,PERSON,,賴清德
303,PERSON,,小英
269,PERSON,,三清道祖
301,PERSON,,曾俊傑
300,PERSON,,劉景寬
299,PERSON,,孫翠鳳
298,PERSON,,明華園
297,PERSON,,陳菊昨
295,PERSON,,項羽
